di_i,frac_i,di_f,frac_f
3.65214304,0.01419198,3.60474435,0.03581857
4.08095628,0.0153405,3.9241176,0.01856591
4.56011826,0.01612522,4.2717867,0.02180989
5.09554063,0.02675848,4.65025859,0.0471228
5.69382916,0.03753209,5.06226234,0.06724779
6.36236522,0.0377932,5.51076882,0.04316067
7.10939687,0.05487866,5.99901209,0.06596239
7.94414061,0.06065459,6.53051275,0.08258421
8.87689505,0.07540228,7.10910332,0.0706134
9.91916807,0.07632061,7.73895587,0.08771277
11.08381867,0.0876927,8.42461213,0.07800106
12.38521572,0.09496733,9.17101618,0.09565934
13.8394152,0.07884985,9.98355015,0.06533164
15.46435825,0.08619562,10.86807304,0.06389881
17.2800926,0.06883405,11.83096291,0.05542836
19.30901983,0.0551946,12.87916293,0.03575236
21.57617182,0.03850429,14.02023141,0.02956533
24.10951951,0.03223316,15.26239631,0.0183074
26.94031805,0.02998155,16.61461458,0.00984052
30.10349236,0.01254925,18.08663672,0.00761679