t_hr,d16_um,d50_um,d84_um,d90_um
0,6.881447861,11.73288986,18.60049679,21.1689831
0.33,6.868951755,11.5096965,17.41678843,19.52818574
0.67,6.371381329,10.31255214,15.6975324,17.58536773
1,6.337661381,10.4253541,15.5528865,17.60873385
1.5,6.059019787,9.734451224,14.3791798,15.81284725
2,5.785911301,9.197380087,13.64472552,15.21472437
3,5.644007716,9.09745678,13.52586748,14.95519478
5,5.102141551,7.804031016,11.4135439,12.46216907
9,4.81404905,7.157963735,10.72174722,12.15536682
11,4.786736557,7.169896214,11.40409742,13.04058817
12,4.908621151,7.600271261,12.79364497,15.44865974
14,4.915658977,7.59741396,12.56878108,14.66853984
15,4.954808099,8.107685781,15.48694347,19.36257932